classref,descr_trad_lang,descr_trad_value,id
49,en,"In the heart of Piazza Bra stands the Roman Amphitheatre that was built in the first half of the 1st century A.D., in the period which marked the end of the Augustus Empire and the beginning of Claudius. It is one of the largest amphitheatre in Italy; its elliptical shape produces perfect acoustics from any stand point and allows it to accommodate a large number of spectators. The most solemn monument in Roman Verona, with various orders of tiers of seats and, in the centre, an area or arena for gladiator shows, struggles with wild beasts and other events of a popular nature, was built with well-squared blocks of marble in the 1st century A.D., namely between the end of the empire of Augustus and the empire of Claudius.",98
50,en,"The castle, an imposing civic building from the medieval Veronese period, was built between 1354 and 1356 by order of Cangrande II della Scala. The design was conceived by the della Scala family as a defence against both outside invasions and popular rebellion.The surrounding area allowed for a rapid and easy escape from the city: after crossing the fortified bridge, accessible only to the noble family, the road to the north along the Adige valley was a secure route.The city’s geographically strategic location led to the development of a fortification system, consolidating the remains of the Roman and Commune periods.
In 1404, following the brief Carrara and Visconti dominations, the city became part of the Venetian Republic. The castle was used exclusively for military purposes, as a weapons and munitions warehouse and subsequently, in the eighteenth century, became the seat of the Venetian military academy.
In the days of the anti-French revolt known as the “Pasque Veronesi” (1797) the castle was the site of numerous armed engagements. The Napoleonic epoch marked the beginning of a radical transformation of the existing structure. The plan provided for the construction of an army barracks around three sides of the drill court, but only those sections along the river and towards the Palazzo Canossa were built. This building, in neo-classical style, continued to serve a military function in the Austrian epoch.
Only after 1923 did the castle cease to serve an exclusively military function. It underwent a dramatic structural change, following plans by Antonio Avena, director of the Civic Museums, and the architect Ferdinando Forlati: the reconstruction of the swallowtail battlements, the insertion of late Gothic and Renaissance decorative elements in the facades, and extension of the pictorial decoration in “period” style. Beginning in 1925 the castle became a museum, where valuable art collections were installed.
Beginning in 1957, under the direction of Licisco Maganato a new organisation of the entire building was planned, to restore the value of the notable historical and artistic patrimonies. This critical and historical revision favoured authenticity, and thus eliminated the false contexts created in the previous renovation. The task of restoration and museum installation was entrusted to the architect Carlo Scarpa, whose highly original solution is universally recognised as one of the finest examples of museum renovation of post-war Italy.
The Museum also holds temporary exhibitions in its Boggian Room (inside the courtyard, on the right).",30
52,en,"The Cathedral, which is dedicated to Santa Maria Assunta, is the central structure of a complex of architectural buildings which include San Giovanni in Fonte, Santa Elena, the Canons' cloister, the Capitular library, the square in front of the church and the bishop's residence.
During the Roman Empire, in the area of the present day church, there were villas with private thermal baths (balnea) and probably also a few small temples.
The first palaeo Christian basilica was built on the area occupied today by the church of Santa Elena. 
It was consecrated by S. Zeno, bishop of Verona, between 362 380 A.D. but it soon turned out to be too small and a few decades later it was replaced by a larger basilica. Quite a few remains of the mosaic floor of both palaeo Christian basilicas can be seen under the church of Santa Elena and the Canons' cloister.
The second palaeo christian basilica collapsed, probably during the 7th century A.D., due to a strong fire or maybe an earthquake. Archdeacon Pacifico was in charge of the reconstruction of the church, between the 8th and the 9th century and the Cathedral, known by the name of Santa Maria Matricolare, was built further south, on the area on which it is situated today.
The church was greatly damaged by an earthquake in 1117 A.D. The reconstruction work lasted at least 20 years: the building acquired its current width and the two Romanesque porches.
The inside was completely renovated between the second half of the 15th and the second half of the 16th century with the addition of the side chapels and the semicircular choir screen.
Note outside the Romanesque façade, Nicolò double level porch (1138), the portal with its lunette and reliefs, the splendid side porch and the apse area. Inside the church you can see: the chapels with works by Falconetto, Liberale, Giolfino, Torbido, Titian's Assumption of the Virgin (1530) and Sammicheli's original choir screen.",37
54,en,"The church of St. Anastasia is a fine example of Italian Gothic architecture. It was designed by two Dominican friars and work began on it as from 1290 AD. Work lasted throughout the 14th and 15th centuries and by the early years of the 16th century the final stages of building showed that the end was in sight. The only thing never to be completed was the façade. St. Anastasia is the largest church in Verona.
The Basilica extends over three large aisles supported by twelve impressive pillars in red Veronese marble. To the left of the transept a splendid marble entrance opens onto the Giusti chapel which was at one time the oratory of the Dominican monastery.
The church soars to a great height and the interior is impressive; it is virtually an art gallery which contains many of the works of art Masters often mentioned in art history books. The most important is Pisanello’s well known fresco (St. George and the Princess) above Pellegrini Chapel. Note outside he unfinished façade with the splendid Gothic portal. Inside, you can see altars and chapels with works by Pietro da Porlezza, Cattaneo, Michele da Firenze, LiIberale da Verona, Girolamo dai Libri, Giolfino, Brusasorzi, Altichiero and  Pisanello; at the entrance the singular hunchbacks of the holy water stoup.",40
55,en,"Near the small church of S. Maria Antica, which was founded in the 7th century and rebuilt in Romanesque style in 1185, is the Scaligeri cemetery, situated inside a fence with a beautiful wrought iron gate that is decorated with the coat-of-arms of the Della Scala family.
As well as several sarcophagi, we find the three splendid arches built for Cangrande I, Mastino II and Cansignorio, by artists from different areas. The original horseback statues of Cangrande and Mastino II have been moved for safekeeping (the statues of Cangrande and Mastino II are on display at Castelvecchio).",43
56,en,"Walking through the Costa Arch you arrive in Piazza dei Signori. On the left hand-side you first encounter the facade of the Domus Nova, in Venitian style of the 12th century.
Continuing your walk in the square clockwise you can admire the Renaissance Loggia del Consiglio and the Palace of the Scaligeri family, who ruled Verona from 1260 to 1387, now used as the seat of the Provincial Council, and the Captain's Palace (Palazzo del Capitanio), another Scaligeri Palace with its overlooking tower. A smaller arch links this to the Palace of Comune (Palazzo del Comune), whose alternate layers of bricks and limestone create an unusual and colourful pattern. Through the arch you enter the Old Market Yard (Cortile Mercato Vecchio), where the two flight gothic stair (Scala della Ragione) is worth seeing.",46
58,en,"Palazzo della Ragione, located between beautiful Piazza delle Erbe and Piazza dei Signori, has always been the pulsating heart of Verona.
It is a corner of the city in which various buildings have, over the centuries, been juxtaposed to create a monumental complex that has symbolized, and still symbolizes, the ancient centre.
After various renovations, this majestic twelfth-century building has been made available to the public once more.
Not only can its architectural and monumental aspects be fully enjoyed, but it has also become the centre of Veronese culture by hosting the Achille Forti gallery of modern art; here, for the first time, the gallery's collection of visual art has been united to the collections of the Fondazione Cariverona and the Fondazione Domus to offer the public both a history and an account of public and private collecting.
With this project the Verona city council, together with the Fondazione Cariverona, has made newly available to the city, its inhabitants, and an international public a place that is emblematic of the city and its history.
This complex of buildings, whose history, intertwined with that of city life, reaches down the centuries, has today been renewed and given back its rightful place as an organic and harmonic whole, a single body of which the elements composing it are united together: the Palazzo, a symbol of city power; the Torre dei Lamberti, which rises up as an emblem of temporal power; the decorated treasure house of the Cappella dei Notai; and the Scala della Ragione, the heart of the Mercato Vecchio courtyard.
The Lamberti tower, built in the twelfth century and so being the same age as the first stages of the Palazzo's construction, rises to 84 metres high and offers a fascinating view of the city and its surroundings; for the Veronese it is a familiar landmark and a visual reference point for the landscape and the city panorama.
The courtyard, surrounded by a portico with arches supported by rustic ashlar pillars, is characterized by the colours of alternate courses of bricks and tuff stone. Inside the wide area of the Mercato Vecchio courtyard is the Scala della Ragione, a late gothic jewel built from red Veronese marble which leads the public to the great portal of the first floor, now the new, central access point to the Palazzo's gallery of modern art.
This stairway allows a new internal itinerary and, above all, restores the centrality that Camillo Boito had conferred on it at the end of the nineteenth century, restoring it to the ideal role that it originally had.
The choice of the Palazzo as the venue for the gallery should be considered a genuine restitution of art to Palazzo della Ragione: in fact in the nineteenth century the first floor was home to the Cignaroli academy of fine art, as is also born out  by the fresco, an allegory of Verona among the Arts, by Giovanni Bevilacqua on the porch at the top of the stairway.",53
59,en,"It is the highest tower of Verona, 84 meters, and we don't know who proyected and restored it. It raises near of the “Palazzo della Ragione”, an ancient centre of the free municipality and dominates “Piazza Erbe”, which was the ancient Roman Foro. You can reach the summit with the stairs or for the laziest, a convenient elevator.\n
On the tower were placed two bells, the smallest served to mark the hours, and in order to indicate the fire. The biggest one to gather the Town Council and call the citizens to the arms in order to defend the city.",55
60,en,"The Forum, centre of city life during Roman times, was situated here. The Piazza delle Erbe has continued to fill the same role for centuries: meeting place, home to the market, and also home to the city's administration.
The centre of the square contains the monuments that symbolise the different rulers of Verona: the most famous is the fountain, built using a Roman statue during Scaligeri rule and later known as the ""Madonna Verona"". On the far side of the square are the 14th century Gardello Tower and the Baroque Palazzo Maffei.
The courtyard of the Palazzo del Comune leads on to the Lamberti Tower with its suggestive panoramic views over the city.",58
61,en,"The building, dating back to the XIII century, was the Cappello family's property for a long time, whose coat of arms is carved in the inner yard arch. The identification of the Cappellos with the Capulets gave birth to the idea that there stood the House of Juliet, Shakespeare's tragic heroine.
This medieval dwelling, picturesquelly restored by Antonio Avena around the mid '30s, was allocated for temporary exhibitions in the recent past. The building has a beautiful internal open-brick façade, a gothic styleed portal, trilobated windows, an external balustrade linking the different bodies of the house, and the celebrated balcony.
In the courtyard there is the bronze statue of Juliet by the sculptor Nereo Costantini.",63
62,en,"On the banks of the river Adige, out of the Roman porta Leoni, in the same place where the saints Fermo and Rustico were tortured to death in 304, people built a church in the 5th-6th c. in honour of them.
Between 755 and 759 St. Annone, the bishop of Verona, recovered from Trieste the mortal remains of the two martyrs and placed them in the Palaeo-Christian church into a “confessione”, the specific place in which people pay honour to the martyrs who have confessed the faith in Christ.
Between 1065 and 1143 the Benedictine monks demolished the Palaeo-Christian church and, to conserve the relics in the same place in which St. Annone had placed them, they built a Romanesque church on two levels: the lower church to keep the relics, the upper to be used for religious functions.
In 1261 the complex was handed over to the Franciscans, who transformed the upper church into its present form. The work of reconstruction was concluded in the year 1350. Throughout the following centuries, altars, chapels and sepulchral monuments were added.
In 1759 the sarcophagus with the mortal remains of the Martyrs was moved to the main altar of the upper church, in order to protect it from the flooding of the river Adige.
In 1807 the Franciscans were obliged to leave the monastery because of the Napoleonic conquest. A large part of the monastery passed to the State and the church became a parish assigned to diocesan clergy.
Note outside, the portal with the arches on the sides and the area outside the apse. Inside the upper church you can see the superb ribbed vault wooden ceiling and 14th and 15th century frescoes, works by Turone, Torbido , Stefano and Liberale da Verona, F.Caroto and a fresco by Pisanello. The lower Church, rare because of its 4 naves, is Romanesque and the upper Gothic.",65
63,en,"The Basilica of San Zeno is without any doubt one of the most beautiful and better preserved examples of Romanesque architecture in the whole of Northern Italy. What strikes the visitor most is the warm colours of the façade, due to the alternated use of tufa stone and bricks.
The original nucleus of the complex has been identified in the church and convent that rose on the Roman and later an early Christian burial ground near the Via Gallica. The church and convent had been built on the spot where the Saint had been buried, in order to preserve his relics and honor his memory. Saint Zeno, born in Africa, 8th Bishop of Verona (362-380), converted the whole town to Christianity.
The early buildings underwent some changes in the 6th century. The church soon became too small, due to the ever growing worship of the Saint. For this reason, the Frankish King Pépin (Charles the Great's son), the Bishop Ratoldo and the Archideacon Pacifico decided to build a larger church and a monastery. The 8th of December 806 the new basilica was consecrated in the presence of King Pépin.
At the end of the 11th century new works to enlarge and renew the church were started: almost all the present basilica dates back to this period.
An earthquake in 1117 interrupted the renovation and destroyed much of what had been done till then: the cloister, the upper part of the bell tower and part of the monastery collapsed. The works were resumed soon after and lasted till 1138.
The monastery of San Zeno was shut down by the Republic of Venice in 1770.
Note on the outside the façade with the large rose window called “The wheel of Fortune”, the marble bas-reliefs on either side of the porch, the famous bronze doors, the bell-tower and the Abbey Tower.
Inside the church you can see 13th and 14th century frescoes, the baptismal font, the ribbed vault ceiling, the crypt where the remains of San Zeno are kept, the polychromatic statue of San Zeno called “San Zeno laughing” and Andrea Mantegna's famous Triptych (1457-59).",74
71,en,"Castelvecchio was built in the period 1354-1357 by Cangrande II of the ruling Della Scala family. It was intended both as a home and a defensive fortification. After various vicissitudes, it was used as a barracks both during Napoleonic and Austrian rule.
Following radical restoration work, since 1928 it has housed the museum of Veronese art and sculpture from the Middle Ages onwards. 
Damaged during the Second World War, it was restored by architect Carlo Scarpa, and the museum was re-organised: an intervention (1957-1964) that is considered to be an important example of museum science at an international level. The museum also holds temporary exhibitions in its Boggian Room (inside the courtyard, on the right).",5
72,en,"The “Loggia del Consiglio” was also called the “Fra Giocondo's Council” because it was wrongly attributed to the famous Veronese architect “Fra Giocondo”. It was built in 1476-93 according to the city elders' will of the municipal district of Verona. It was the seat of the meetings of the Citizens' council (as a matter of fact just a formal institution because the Venetian rule prohibited any actual autonomy to the town).
In '800 the council was temporarily used as civil picture gallery and in order to allocate it to such a purpose it was dramatically rebuilt in 1820-38 and in 1870-74. The internal part (floors, ceilings, and painting decorations were changed) and the building was filled up with medallions and busts dedicated to Veronese important people (it was called the “promoteca”, established in 1810 and consisting in 110 carved pictures now preserved in the Civic Library in Verona).
Veronese humanists made the façade of the council, while the pictorial decoration, which covered the whole surface (the present one was remade in 1870), was made by Comacine artists. The building shows a porch with eight round arches while the first floor we can see four wide double lancet windows (a carved pediment and carved respond plasters).
At the top of the building there are the statues of renowned people of Roman Verona (Catullo, Plinio, Emilio Macro, Vitruvius and Cornelio Nepote), made by Alberto da Milano.
Inside the council rooms we can see some paintings commissioned by the Council in the XVI century; some other paintings of '500 and '600 were transferred to Barbieri Palace or were destroyed. The painting by Giambettino Cignaroli depicting Pomponio Trionfatore, dating half '700 is still intact.
The Council open gallery is now the seat of the meetings of the provincial council and of various cultural events.
On the arch that connects the Council open gallery to the Casa della Pietà (Mercy House), which was rebuilt in 1490 on residences dating back to the Scaliger period, it is situated the statue of Girolamo Fracastoro (famous Veronese doctor, poet and autonomous), carved by Danese Cattaneo in 1559.",100
74,en,"The church, near the Organo gate, already existed in the Lombard era and later became an important Benedictine monasterya.
During the half of the 15th century, the sacristy (defined ""the most beautiful in Italy” by G.Vasari) and the presbytery were built. Both are made precious by the wood inlays of Brother John of Verona; during the same years, Francesco Da Castello was building the cloister and bell tower.
The interior is  decorated with lively frescoes and is enriched with important paintings by Veronese Renaissance artists. In the crypt (6th-7th centuries) there are elements of a previous Roman presence. The unfinished façade is by Michele Sanmicheli.",11
76,en,"Among Europe's most ancient public museums, the Lapidary Museum (with collections of Greek, Etruscan, Paleo-Veneta and Roman, as well as Arab epigraphs) was founded in 1745 by one of Verona's most illustrious figures, Scipione Maffei, whose personal collection formed the basis for the museum’s holdings.
Located on a site within the antique walls that join Piazza Bra and Castelvecchio, the museum was conceived as a sort of access garden to the Philharmonic Academy. Since 1612, the Academy had acquired some 28 epigraphs which were displayed in the courtyard in front of its building.
The initial transformation of this collection into an established museum was due to the efforts of Scipione Maffei; the museum was subsequently acquired by the city in 1883 and equipped following the modern standards in 1982.",77
77,en,"This square gives a magnificent glance on the history of the city: it is the foyer of the Arena on occasion of the opera, which draws thousand of spectators. It is the place where the people from Verona like strolling for more than two centuries – along the Liston: between 1770 and 1782 it was paved with red marble from Valpolicella, the same used to build the Roman Amphitheatre.
It is the place where people meet to talk about daily events or to drink a coffee or a cocktail in one of the numerous bars, which are open even in winter.
The Liston gives evidence of the vitality of the city and represents the frame of the many events which take place in Piazza Brà or in the Arena. It was made even more spectacular by the new iron structures which support the colourful marquee tents. They were designed by the master Franco Zeffirelli and planned by the architect Gualtiero Rizzi. The Palazzo della Gran Guardia hosts important cultural events, while Palazzo Barbieri is the seat of Verona Town Hall.
An old clock, which was donated by the count Antonio Nogarola and set between the two arches of the XIVth century Portoni della Brà, indicates the time to the strollers.
About in the mid of the XIIth century the market of wood, hay and cattle was held in the wide empty space around the Arena. This event became permanent between the XVIIIth and XIXth centuries. In 1897 the square hosted the most important horse Fair of the North-East. Nowadays it is one of the most important in Europe.
Ancient documents refer to Piazza Brà as “foro boario”: this tradition survives thanks to the fair of Santa Lucia which takes place here every year. The place then was urbanized: different activities began and buildings were built between the XVIth and the XVIIIth centuries.
In 1873 the central part of the square was transformed into a garden.",96
78,en,"Also called Cangrande's Palace was built at the start of the 19th century but it several remakes were done. By removing some parts made in different ages, the remaking of the mullions and of more appropirate arvhitectural parts), the latest restoration in 1929-30 tried to give back its medieval look, of which some important samples were left in the courtyard.
This palace too is actually a complex of different buildings developed around an interior rectangular courtyard with a double arcade and built by Cansignorio in the 14th century; the walls of the rooms in the loggia were totally covered with painyings by Jacopo Avanzi and by Altichieri (the two top veronese painters of the 1300s).  From the several artworks of these two artists only the Partimento di Medaglie dell'Altichiero was found, removed in 1967, restored and now preserved at the Museo degli Affreschi - Museum of the Frescoes.
In 1533 the venetian Podestà (chief magistrate) who was based here commissioned the portal to the Piazza to be made by Michele Sanmicheli, similar to the style of Arco dei Gavi.
Major cultural centre in Verona of the 1300s, thanks to the patronage of Scala family, Dante and probably Giotto were hosted here.",102
70,en,"The Church of San Bernardino is a Catholic place of worship in Verona dating back to the 15th century, and forms part of a Franciscan convent consisting, in addition to the church, of three large cloisters and various other buildings.
The church is characterized by numerous chapels richly decorated with frescoes and canvases by local painters, active mostly in the 16th century, such as Francesco Benaglio, Cavazzola, Nicola Giolfino, Francesco Bonsignori, Domenico Morone, Giovan Francesco Caroto, Antonio Badile, Bernardino India, and the later Antonio Balestra; one of these, the Pellegrini Chapel, designed by the renowned Veronese architect Michele Sanmicheli, occupies a fundamental place in the history of Italian architecture.",70
51,en,"San Lorenzo is a Romanesque Roman Catholic church on Corso Cavour in central Verona. A church has stood here since the 4th century; the present structure was largely rebuilt in the 12th century after the 1117 earthquake and later restored in 1877 and after World War II.
The alternating courses of brick and stone create striking stripes on the interior walls and columns; the bell tower dates to 1468, and the façade is distinguished by two turrets with cylindrical staircases leading to an upper gallery traditionally used by women. 
The church preserves a 1566 main altarpiece by Domenico Brusasorci, fragments of 13th–14th-century frescoes, and works associated with Nicolò Giolfino, among others.",
73,en,"San Giorgio in Braida is a Catholic church in Verona’s Veronetta quarter, bounded by the Adige to the south and Borgo Trento to the north. Its origins date to 1046, when Pietro Cadalo—later an antipope—endowed a Benedictine monastery under the bishop of Verona; after prosperity in the 12th–13th centuries, faint traces of the early Romanesque building—likely rebuilt after the 1117 earthquake—survive, such as the base of the bell tower along the left wall. In 1442 the complex passed to the Congregation of San Giorgio in Alga, which began the present Renaissance church; after the order’s suppression it was sold in 1669 to the nuns of Santa Maria in Reggio to help finance the War of Candia.
Closed in 1807, the convent was largely demolished in 1837 during Austrian fortification works; San Giorgio regained parish status on 2 March 1874 and underwent restoration in 1938, including partial reconstruction of the 16th-century cloister. The design—often credited to Francesco da Castello, with a contribution by Paolo Farinati for the façade—includes the great dome and the conception of the campanile by Michele Sanmicheli (continued but not completed by Bernardino Brugnoli).
Inside, a single nave with eight side chapels (each with a white-marble altar and wooden superstructure) and a shallow transept beneath the dome houses works by Giovan Francesco Caroto, Domenico and Felice Brusasorzi, Pasquale Ottino, Girolamo dai Libri, Sigismondo de Stefani, and Francesco Montemezzano; under the organ loft is Moretto’s Madonna in Glory, above the main door Tintoretto’s Baptism of Christ, and in the apse Paolo Veronese’s Martyrdom of Saint George (1564).",
79,en,"Santa Maria Antica is a Roman Catholic church in Verona; the present Romanesque building dates to 1185, rebuilt after the 1117 earthquake, with a fragment of black-and-white mosaic floor surviving from the 7th-century predecessor.
Dedicated by the patriarch of Aquileia, it served as the private chapel of the Scaligeri, whose 13th-century funerary complex adjoins the site. The exterior alternates tuff and brick with small windows; a modest Romanesque bell tower with mullioned openings and a brick-clad spire holds three 17th-century bells rung in the Veronese style.
The three-aisled interior was Baroquized c. 1630 but restored at the end of the 19th century to a Romanesque scheme with stilted arches and a trussed roof supported by transverse arches, recalling San Zeno. Two lateral apses in tuff and brick flank a central apse that preserves early 14th-century frescoes.
Excavations revealed an adjacent cemetery with around fifty 11th-century burials.",
110,en,"The Gardello Tower stands near Piazza delle Erbe in Verona, on the site of an earlier house-tower likely owned by the Gardello family. In 1370 Cansignorio della Scala had it restored and raised—possibly to plans by Giovanni da Ferrara—and installed a bell clock that for the first time in Verona struck the hours, as commemorated by a Latin plaque.
The external clock hands and dial were added in 1421, and only in 1661 (or perhaps later in the 18th century) did another public clock with a dial appear in the city, on the taller Torre dei Lamberti. In 1626 the tower was slightly heightened with a truncated-cone roof, reaching a final height of 44 m. The belfry is recognizable by its biforate (twin-light) windows with central colonnettes; the original 1.8-ton bell, bearing the city arms, St Zeno and Gothic inscriptions, cast by Master Jacopo, is preserved at the Castelvecchio Museum.",
53,en,"The Verona Chapter Library (Biblioteca Capitolare), set within the cathedral complex, is widely regarded as the oldest library still in operation and has belonged to the Cathedral Chapter since its foundation. It grew out of the 5th-century scriptorium of the Schola majoris Ecclesiae; a colophon by the lector Ursicino dated 1 August 517 attests early activity, while even older codices—such as Augustine’s De civitate Dei and the unique Institutes of Gaius—suggest a 4th-century origin.
The collection flourished during the Carolingian renaissance under Archdeacon Pacificus, when the scriptorium produced some 218 volumes. By the early 13th century it functioned as a lending library; in 1320 Dante was invited to deliver the Quaestio de aqua et terra at nearby Sant’Elena, and in 1345 Petrarch, consulting here, reported discovering Cicero’s letters to Atticus, Quintus, and Brutus. After the holdings were hidden and forgotten during the 1630 plague, Scipione Maffei and Canon Carlo Carinelli oversaw their rediscovery in 1712 and the opening of a new hall in 1725 (enlarged in 1781), though Napoleon later seized 31 codices and 20 incunabula, only some of which returned in 1816. Despite the 1882 Adige flood and the Allied bombing of 4 January 1945—mitigated by librarian Giuseppe Turrini, who safeguarded the most precious items—the library resumed in a rebuilt home inaugurated on 28 September 1948; among later scholarly milestones is Luigi Schiaparelli’s 1924 identification of the “Veronese Riddle,” an early witness to the Italian vernacular.",
